ID,性别,年级,专业,使用时长,主要使用场景,使用态度,提问能力,信息核实,效率提升,使用ChatGPT_闭卷课程,使用ChatGPT_闭卷成绩,使用ChatGPT_开卷课程,使用ChatGPT_开卷成绩,不使用ChatGPT_闭卷课程,不使用ChatGPT_闭卷成绩,不使用ChatGPT_开卷课程,不使用ChatGPT_开卷成绩,学习渠道_1,学习渠道_2,学习渠道_3,学习渠道_4,学习渠道_5,Q15_知识联系,Q16_减轻负担,Q17_反思方法,Q18_批判审视,Q19_问题解决,Q20_深度思考,Q21_主动查证,Q22_激发创意,Q23_信息素养,Q24_掌控感,Q25_胜任感,Q26_归属感,Q27_兴趣提升,Q28_减轻焦虑,Q29_依赖内疚,Q30_担心落后,Q31_探索乐趣,Q32_弥补漏洞,Q33_个性化,Q34_情感不可替代,Q35_教学方法改革,Q36_融入课堂,Q37_注重过程,Q38_角色转变,Q39_担心关注减少,Q40_利大于弊,Q41_平衡使用,Q42_职业重要,Q43_隐私担忧,Q44_制定规则,Q45_支持课程,Q46_减少讨论,Q47_促进公平,Q48_加剧不平等,Q49_驾驭AI,Q50_未来乐观,Q51_思维不可替代,使用时长_数值,使用态度_数值,提问能力_数值,信息核实_数值,效率提升_数值,认知特质,动机特质,教学特质,综合特质
RESP_001,男,2021级及以前,经管与社科类（含经济、管理、法律、社会学等）,中等使用（8-15小时）,搜集和概括文献资料,中立,一般,经常会,提升非常大,统计学,90,品牌管理,97,微观经济学,94,国际贸易实务,92,1,1,0,0,1,D,B,D,D,E,C,D,D,C,A,D,B,E,A,C,A,D,D,E,C,D,D,D,D,D,A,C,A,D,E,B,C,C,B,C,B,E,3,3,3,4,5,0.917434729,-0.469474386,0.542560044,0.136582307
RESP_002,男,2021级及以前,外语类,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,非常积极,比较弱,总是会,没有提升,外国文学史,82,影视翻译,90,语法理论,86,同声传译基础,88,1,1,0,0,0,D,D,B,E,E,E,D,D,D,E,D,E,C,D,E,E,E,B,E,D,D,D,E,D,E,A,A,A,B,A,C,C,C,B,B,A,A,3,5,2,5,1,0.761676289,1.830999522,0.731280119,-1.439217523
RESP_003,男,2024级,数学与统计类,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,中立,比较弱,总是会,提升较大,外语教学法,73,商务外语,81,第二语言习得,77,外语戏剧表演,78,1,0,1,0,1,E,E,E,C,A,B,E,C,C,E,B,D,C,E,B,D,B,B,A,A,C,C,A,E,C,C,A,B,A,C,D,D,C,B,C,B,E,3,3,2,5,4,-0.270645323,-0.342714517,-1.002277269,0.138714288
RESP_004,男,2024级,物理与工程类（含物理、机械、电子、电气等）,中等使用（8-15小时）,解答课程疑难问题,非常积极,比较弱,从不,提升较大,文体学,82,外语演讲与辩论,90,语言测试学,85,外语影视配音,87,0,1,0,1,1,A,C,D,B,B,A,B,A,B,E,E,E,D,E,E,B,E,D,C,B,D,D,C,D,D,E,C,D,B,D,A,C,E,D,D,C,E,3,5,2,1,4,-1.170456613,1.321941566,0.096984673,0.55049285
RESP_005,男,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,频繁使用（16小时以上）,编程辅助与代码调试,非常积极,一般,从不,提升较大,机械设计基础,80,3D打印技术,88,材料力学,85,智能制造导论,88,0,0,1,0,1,B,A,A,C,C,B,A,A,B,E,A,D,E,B,C,E,B,B,D,C,B,C,C,C,B,A,B,D,D,A,B,B,D,C,A,C,A,4,5,3,1,4,-0.795738779,0.973180926,0.38531738,-0.583857436
RESP_006,女,2021级及以前,经管与社科类（含经济、管理、法律、社会学等）,中等使用（8-15小时）,文本润色、翻译与内容总结,中立,非常弱,有时会,提升较大,新闻学原理,84,影视鉴赏,86,中国文学史,83,媒介素养,83,1,1,0,0,1,D,D,C,D,E,E,B,E,D,A,B,A,B,B,C,B,B,B,C,A,A,A,D,D,B,C,D,C,C,E,D,E,C,D,D,D,D,3,3,1,3,4,1.002433335,-0.792520738,-0.514736441,0.804987279
RESP_007,男,2023级,生化环材类（包含环境工程、化学、生物学、材料等）,频繁使用（16小时以上）,文本润色、翻译与内容总结,比较积极,一般,很少会,提升较大,计算机体系结构,79,物联网导论,87,算法设计与分析,84,大数据技术,87,1,0,1,1,1,C,C,C,D,D,B,D,E,C,D,C,B,B,E,D,D,E,C,C,B,D,A,C,C,C,C,D,E,D,D,C,C,C,B,C,C,C,4,4,3,2,4,1.038317206,0.680991868,-0.62269952,0.09187775
RESP_008,男,2021级及以前,经管与社科类（含经济、管理、法律、社会学等）,频繁使用（16小时以上）,编程辅助与代码调试,非常积极,一般,经常会,提升较大,商法,92,国际贸易实务,98,会计学原理,95,社会心理学,92,1,0,1,0,0,E,E,A,E,A,E,A,E,E,D,C,D,A,B,B,C,C,D,E,B,E,A,E,C,B,D,E,B,E,B,C,B,B,D,D,D,D,4,5,3,4,4,0.302942618,-0.025497197,-0.321385842,0.712931454
RESP_009,男,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,搜集和概括文献资料,非常积极,比较强,从不,提升较小,古典文献学,90,影视鉴赏,98,古代汉语,95,创意写作,92,1,0,1,1,0,B,C,B,A,C,D,D,B,B,C,C,C,C,B,C,C,C,C,A,B,C,C,B,B,C,B,A,A,A,A,A,A,B,A,A,A,A,3,5,4,1,2,-0.658298285,-0.039721842,-0.399392645,-2.423895724
RESP_010,女,2023级,数学与统计类,中等使用（8-15小时）,文本润色、翻译与内容总结,中立,一般,经常会,提升非常大,实变函数,72,统计软件应用,80,泛函分析,77,贝叶斯统计,79,1,0,1,1,1,C,A,D,D,E,E,E,C,D,B,D,C,A,C,C,B,A,C,D,B,B,E,B,C,B,E,E,E,E,E,B,D,E,D,E,E,E,3,3,3,4,5,1.518631558,-0.964923461,0.68605146,1.658424487
