ID,Group,Major,Turn,CI,V,R,Prompt
C001,Low,Computer Science,1,L3,V2,R2,"我写了一个二分查找，但栈溢出。代码：`def binary_search(arr,target):...` 请帮我看看问题在哪。"
C001,Low,Computer Science,2,L2,V2,,递归和迭代哪个效率更高？能讲一下原理吗？
C001,Low,Computer Science,3,L3,V2,R2,我的排序算法时间复杂度太高，这是代码……怎样改进？
C001,Low,Computer Science,4,L2,V2,R2,如何优化这段SQL查询？先给我思路。
C001,Low,Computer Science,5,L4,V3,R3,你刚才给的代码在Python 3.11下会报错吗？有没有兼容性问题？
C001,Low,Computer Science,6,L3,V2,R2,我之前写的二分查找改成迭代后效率提升明显。我想总结一下递归和迭代的适用场景，你能帮我梳理一个对比表格吗？
C002,Low,Physics,1,L3,V2,R2,我计算一个滑块在斜面上的受力：mgsinθ - μmgcosθ = ma。但答案不同，我哪里错了？
C002,Low,Physics,2,L2,V2,,如何推导单摆周期公式？一步步来。
C002,Low,Physics,3,L3,V3,R3,我的实验数据：摆长1m，周期2.01s，但理论值2.006s。可能误差来源？
C002,Low,Physics,4,L2,V2,R2,麦克斯韦方程组的物理意义是什么？
C002,Low,Physics,5,L2,V2,R1,我计划用实验验证单摆周期公式，需要设计一个测量摆长和周期的方案。请帮我列出关键步骤和注意事项。
C003,Low,Economics,1,L3,V2,R3,我的回归模型：Y=2+0.5X，但R方只有0.3。模型有问题吗？
C003,Low,Economics,2,L2,V2,,供求曲线移动如何影响均衡价格？分步骤说明。
C003,Low,Economics,3,L3,V2,R2,我认为通胀预期会导致菲利普斯曲线右移，你同意吗？为什么？
C003,Low,Economics,4,L2,V2,,什么是机会成本？举个例子。
C003,Low,Economics,5,L4,V3,R3,你引用的CPI数据来自哪一年？国家统计局最新数据是2023年，请核对。
C003,Low,Economics,6,L3,V3,R3,你之前对菲利普斯曲线的解释忽略了理性预期。我查阅了卢卡斯的文献，认为你的分析有误。请修正并补充理性预期学派的观点。
C004,Low,Electronic Eng,1,L3,V2,,"我设计了一个二阶巴特沃斯滤波器，R=1k, C=33nF。请验证截止频率是否正确。"
C004,Low,Electronic Eng,2,L3,V2,R2,这是我的PCB布局截图，请指出可能存在的信号完整性问题。
C004,Low,Electronic Eng,3,L2,V2,R2,解释一下什么是‘虚短’和‘虚断’。
C004,Low,Electronic Eng,4,L2,V2,,如何计算RC低通滤波器的截止频率？步骤是什么？
C004,Low,Electronic Eng,5,L4,V3,R3,你推荐的LM358在5V单电源下能输出满幅吗？请查数据手册确认。
C004,Low,Electronic Eng,6,L2,V2,R2,我设计的滤波器仿真通过了，但实际电路噪声很大。我怀疑是电源去耦问题。请帮我分析可能原因并给出排查顺序。
C005,Low,Literature,1,L3,V2,,我写了一句：‘月光如水，静静地流泻在窗棂上。’请评价并帮我修改得更有意境。
C005,Low,Literature,2,L2,V2,R3,分析林黛玉的性格特点，列出三点。
C005,Low,Literature,3,L3,V2,R2,我认为哈姆雷特的犹豫源于宗教束缚，你对此有什么反驳？
C005,Low,Literature,4,L2,V2,,《老人与海》中的象征手法有哪些？
C005,Low,Literature,5,L4,V3,R3,你解读的‘采菊东篱下’与陶渊明其他诗作矛盾，请提供文本依据。
C005,Low,Literature,6,L3,V2,R1,我正在写一篇关于《红楼梦》叙事视角的论文。我打算从“全知视角”和“限知视角”交替切入。请帮我构思一个三级大纲。
C006,Low,Mathematics,1,L3,V2,R2,我算的极限是0，但答案说极限不存在。步骤：……请帮我检查。
C006,Low,Mathematics,2,L2,V2,,解释一下泰勒展开的原理。
C006,Low,Mathematics,3,L3,V2,R2,这个级数收敛吗？我用比值判别法得到ρ=1，接下来怎么办？
C006,Low,Mathematics,4,L2,V2,,什么是条件概率？举例说明。
C006,Low,Mathematics,5,L4,V3,R3,你证明中假设了函数连续，但题目条件只给可积，这个假设成立吗？
C006,Low,Mathematics,6,L4,V3,R3,你证明级数收敛时用了比较判别法，但比较级数选择不当。我找到了一个更严格的比较对象，请重新评估并说明你的错误。
C007,Low,Chemistry,1,L3,V2,R2,我合成了阿司匹林，产率只有65%，可能原因？我的步骤：……。
C007,Low,Chemistry,2,L2,V2,,如何配平氧化还原反应？步骤是什么？
C007,Low,Chemistry,3,L3,V2,R2,这个反应机理我画了，但中间体不稳定，请指正。
C007,Low,Chemistry,4,L2,V2,R2,解释SN1和SN2反应的区别。
C007,Low,Chemistry,5,L4,V3,R3,你给的电负性数值与Pauling原始数据不同，请确认。
C007,Low,Chemistry,6,L3,V2,R2,我的阿司匹林合成产率稳定在70%了。我想优化重结晶步骤。请推荐两种不同的溶剂体系并比较优缺点。
C008,Low,Biology,1,L3,V2,R2,我设计了一个实验验证温度对酶活性的影响，但结果反常。方案：……，哪里出问题了？
C008,Low,Biology,2,L2,V2,,有丝分裂和减数分裂的区别？列表说明。
C008,Low,Biology,3,L3,V2,R2,我认为这个进化树的分支有问题，因为线粒体数据不支持，你怎么看？
C008,Low,Biology,4,L2,V2,,什么是生态位？举例。
C008,Low,Biology,5,L4,V3,R3,你提到的物种名称在ITIS数据库中查不到，请提供正确的拉丁学名。
C008,Low,Biology,6,L2,V2,R1,下节课我要展示温度对酶活性的实验。我需要准备一个PPT，包含原理、步骤、预期结果。请帮我列出每页的核心内容。
C009,Low,History,1,L3,V2,R2,我认为洋务运动促进了民族资本主义，但教材说它阻碍了。你的观点？
C009,Low,History,2,L2,V2,,分析辛亥革命失败的原因。
C009,Low,History,3,L3,V2,R3,我的论文观点：冷战始于1947年杜鲁门主义。你有反例吗？
C009,Low,History,4,L2,V2,R2,罗马帝国分裂的内外因素有哪些？
C009,Low,History,5,L4,V3,R3,你提到的条约签订年份与《剑桥中国史》不符，请核实。
C009,Low,History,6,L3,V3,R3,你之前说洋务运动阻碍了民族资本主义，但我查到江南制造局孵化了多家民办企业。请提供反例的具体史料来源，否则我无法采纳。
C010,Low,Computer Science,1,L2,V2,,如何优化这段SQL查询？先给我思路。
C010,Low,Computer Science,2,L3,V2,R2,"我写了一个二分查找，但栈溢出。代码：`def binary_search(arr,target):...` 请帮我看看问题在哪。"
C010,Low,Computer Science,3,L4,V2,R2,你刚才给的代码在Python 3.11下会报错吗？有没有兼容性问题？
C010,Low,Computer Science,4,L2,V2,,递归和迭代哪个效率更高？能讲一下原理吗？
C010,Low,Computer Science,5,L3,V3,R3,我的排序算法时间复杂度太高，这是代码……怎样改进？
C010,Low,Computer Science,6,L2,V2,R2,我的数据库查询优化后速度提升明显。我想写一篇技术笔记分享。请帮我组织结构：问题背景、原SQL、分析过程、优化方案、效果对比。
C011,Low,Physics,1,L3,V2,R2,我计算一个滑块在斜面上的受力：mgsinθ - μmgcosθ = ma。但答案不同，我哪里错了？
C011,Low,Physics,2,L2,V2,,如何推导单摆周期公式？一步步来。
C011,Low,Physics,3,L3,V2,R2,我的实验数据：摆长1m，周期2.01s，但理论值2.006s。可能误差来源？
C011,Low,Physics,4,L2,V2,R2,麦克斯韦方程组的物理意义是什么？
C011,Low,Physics,5,L3,V3,R3,我计算一个滑块在斜面上的受力：mgsinθ - μmgcosθ = ma。但答案不同，我哪里错了？
C011,Low,Physics,6,L3,V2,R1,我测量了不同摆角下的周期，发现5°以内误差很小。下一步我想研究空气阻尼的影响。请帮我设计一个控制变量实验方案。
C012,Low,Economics,1,L2,V2,,供求曲线移动如何影响均衡价格？分步骤说明。
C012,Low,Economics,2,L3,V2,R2,我的回归模型：Y=2+0.5X，但R方只有0.3。模型有问题吗？
C012,Low,Economics,3,L2,V2,,什么是机会成本？举个例子。
C012,Low,Economics,4,L3,V2,R2,我认为通胀预期会导致菲利普斯曲线右移，你同意吗？为什么？
C012,Low,Economics,5,L4,V3,R3,你引用的CPI数据来自哪一年？国家统计局最新数据是2023年，请核对。
C012,Low,Economics,6,L4,V3,R3,你给出的CPI数据与统计局官网不一致。请核实并标注每个数据的出处年份，否则我会认为你编造了数据。
C013,Low,Electronic Eng,1,L3,V2,R2,"我设计了一个二阶巴特沃斯滤波器，R=1k, C=33nF。请验证截止频率是否正确。"
C013,Low,Electronic Eng,2,L2,V2,,如何计算RC低通滤波器的截止频率？步骤是什么？
C013,Low,Electronic Eng,3,L3,V2,R2,这是我的PCB布局截图，请指出可能存在的信号完整性问题。
C013,Low,Electronic Eng,4,L2,V2,R2,解释一下什么是‘虚短’和‘虚断’。
